Datetime,Open,High,Low,Close,Volume
2020-01-20 03:00:00,1.10931,1.10936,1.10926,1.10935,151
2020-01-20 03:05:00,1.10935,1.10956,1.10935,1.10951,115
2020-01-20 03:10:00,1.10952,1.10965,1.10952,1.1096,89
2020-01-20 03:15:00,1.1096,1.10971,1.10959,1.1097,84
2020-01-20 03:20:00,1.1097,1.10978,1.10966,1.10976,154
2020-01-20 03:25:00,1.10976,1.10978,1.10969,1.1097,61
2020-01-20 03:30:00,1.10971,1.10971,1.10961,1.10966,124
2020-01-20 03:35:00,1.10965,1.10965,1.1095,1.10955,109
2020-01-20 03:40:00,1.10955,1.10969,1.10952,1.10966,99
2020-01-20 03:45:00,1.10966,1.10967,1.10954,1.10956,95
2020-01-20 03:50:00,1.10955,1.10961,1.10955,1.10958,93
2020-01-20 03:55:00,1.10959,1.10964,1.10953,1.10963,101
2020-01-20 04:00:00,1.10962,1.10963,1.10952,1.10955,84
2020-01-20 04:05:00,1.10955,1.10956,1.10951,1.10954,82
2020-01-20 04:10:00,1.10954,1.10968,1.10952,1.10956,99
2020-01-20 04:15:00,1.10956,1.10963,1.10954,1.1096,41
2020-01-20 04:20:00,1.1096,1.10967,1.10956,1.10966,72
2020-01-20 04:25:00,1.10967,1.10969,1.10963,1.10966,44
2020-01-20 04:30:00,1.10966,1.10972,1.10964,1.10971,36
2020-01-20 04:35:00,1.10971,1.10971,1.10965,1.10966,51
2020-01-20 04:40:00,1.10965,1.10966,1.10956,1.10962,50
2020-01-20 04:45:00,1.10962,1.10966,1.10957,1.10965,75
2020-01-20 04:50:00,1.10966,1.10967,1.10962,1.10967,50
2020-01-20 04:55:00,1.10968,1.10975,1.10967,1.10972,128
2020-01-20 05:00:00,1.10972,1.10974,1.1097,1.10973,55
2020-01-20 05:05:00,1.10972,1.10975,1.10969,1.10974,39
2020-01-20 05:10:00,1.10975,1.10977,1.1097,1.10976,84
2020-01-20 05:15:00,1.10976,1.10977,1.10975,1.10976,56
2020-01-20 05:20:00,1.10975,1.10985,1.10975,1.10984,60
2020-01-20 05:25:00,1.10984,1.1099,1.10982,1.10988,76
2020-01-20 05:30:00,1.10988,1.1099,1.10985,1.10986,55
2020-01-20 05:35:00,1.10985,1.10986,1.10976,1.10976,45
2020-01-20 05:40:00,1.10975,1.10975,1.10955,1.10955,104
2020-01-20 05:45:00,1.10955,1.10961,1.10954,1.10961,62
2020-01-20 05:50:00,1.10962,1.10969,1.1096,1.10966,83
2020-01-20 05:55:00,1.10965,1.1097,1.10959,1.10959,109
2020-01-20 06:00:00,1.10959,1.1096,1.10955,1.10959,119
2020-01-20 06:05:00,1.10959,1.10962,1.10957,1.10962,61
2020-01-20 06:10:00,1.10961,1.10961,1.10955,1.1096,70
2020-01-20 06:15:00,1.10961,1.10964,1.10955,1.10955,56
2020-01-20 06:20:00,1.10955,1.10955,1.10941,1.10941,61
2020-01-20 06:25:00,1.10942,1.10952,1.10942,1.1095,69
2020-01-20 06:30:00,1.1095,1.10956,1.10949,1.10955,51
2020-01-20 06:35:00,1.10955,1.10959,1.10953,1.10956,44
2020-01-20 06:40:00,1.10957,1.1096,1.10954,1.10955,34
2020-01-20 06:45:00,1.10954,1.10955,1.10951,1.10951,61
